,Cloud and Capacity,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Storage Concepts: Storing And Managing Digital Data,Storage administration (HQT-6740)  ITIL Foundation,Replication (HCE-3710) ,,Hitachi Enterprise (HCE-4130) ,Storage Virtualization (HCE-5730) Replication (HCE-5710)  ITIL SO (or IT4IT L1) ITIL CSI  ,,,,,,
,Cloud and Capacity,Storage ,Storage Technical Specialist,IBM ,Skills,Differentiate the types of the disk/all-flash storage solutions Clarify the various Cloud storage considerations SAN Basic Concepts ;  Fibre Channel ; SAN design and topology ; switch management - tools,Gain a vendor neutral view of storage technology; Get the lowdown on everything from theory and concepts of data storage ; through data security and virtualization ; to management ; performance,Understand customer requirements and position the correct solutions. Know what resources to engage to design the solution. Broad knowledge of the features ; industry terminology ; functions and benefits of IBM storage solutions and the broader IBM storage portfolio ; including disk ; tape ; storage management software ; and software defined storage.,Understands the workload characteristics that differentiate members of the IBM Storwize family ; IBM FlashSystem V9000 ; IBM Spectrum Virtualize ; and VersaStack solutions. This specialist can utilize all available IBM tools to design a solution based on the most appropriate IBM solutions and technologies that meet customer requirements.,,Work independently to provide technical support ; solution design including SAN ; and implementation planning for the current IBM System Storage DS8000 Hybrid Storage and DS8880 All Flash family in an open systems and/or IBM z Systems mainframe ; Identify customer requirements and architect and design appropriate solutions to meet the requirements.,Design ; plan and create an architecture with IBM Spectrum Storage solutions,,,,,,
,Cloud and Capacity,Storage ,Storage Technical Specialist,IBM ,Trainings & Certification, ,Storage Concepts: Storing And Managing Digital Data,IBM Certified Specialist - Storage Technical V1  ITIL Foundation,IBM Certified Specialist - Virtualized Storage V1 ,,IBM Certified Specialist - Business Critical V1,IBM Certified Solution Architect - Spectrum Storage V1   ITIL SO (or IT4IT L1) ITIL CSI,,,,,,
,Cloud and Capacity,Storage ,Storage Technical Specialist,Dell (EMC ;  Compellent) ,Skills,Differentiate the types of the disk/all-flash storage solutions Clarify the various Cloud storage considerations SAN Basic Concepts ;  Fibre Channel ; SAN design and topology ; switch management - tools,Gain a vendor neutral view of storage technology; Get the lowdown on everything from theory and concepts of data storage ; through data security and virtualization ; to management ; performance,,Strong understanding of Dell EMC midrange storage solutions for the SC Series and Dell EMC Unity; product configurations ; features ; functionality ; best practices and design considerations.  ,,Strong understanding of Dell EMC midrange storage solutions for the SC Series and Dell EMC Unity; product configurations ; features ; functionality ; best practices and design considerations.  ,Intermediate to advanced skill level tasks in deploying ; management and troubleshooting the Dell EMC SC Series storage products,,,,,,
,Cloud and Capacity,Storage ,Storage Technical Specialist,Dell (EMC ;  Compellent) ,Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Storage Concepts: Storing And Managing Digital Data,ITIL Foundation,DECS-IE SC Series Manage,,DECS-IE SC Series Support,DECE SC Series  ITIL SO (or IT4IT L1) ITIL CSI,,,,,,
,Cloud and Capacity,Storage ,Storage Technical Specialist,Cisco & Brocade,Skills,SAN Basic Concepts ;  Fibre Channel ; SAN design and topology ; switch management - tools,Interconnecting CISCO devices ; network fundamentals ; LAN and SAN switching technologies ; routing technologies ; infrastructure services ; and infrastructure maintenance,Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.  Understand terms ... server bay ; interconnect module ; OA ; VCM ; FlexFabric ; …,Brocade products; Firmware upgrades ; zoning ; fabric shortest path first ; trunking ; GEN5 ; GEN6 HW ; Long Distance,,install ; configure ; and maintain data center technology. Gain grounding in data center infrastructure ; data center networking concepts and technologies ; storage networking ; unified computing ; network virtualization ; data center automation and orchestration;;  technical and process information needed to perform troubleshooting and data gathering tasks in Brocade Fibre Channel storage area networks based on Fabric OS and 16 & 32 Gbps Brocade products,Explain the techniques and information that will enable you to perform the initial software configuration of a Cisco MDS; upgrade the system software ; and enable licensing; building a Cisco Fibre Channel SAN fabric including interfaces ; VSANs ; domains ; port channels ; device aliases ; NPV ; NPIV ; and zones; intelligent SAN fabric services on specific Cisco MDS; security features on Cisco MDS,,,,,,
,Cloud and Capacity,Storage ,Storage Technical Specialist,Cisco & Brocade,Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Cisco CCENT,HP Blade Systems essentials; ITIL Foundation,Brocade BASA-200,,Cisco CCNA DC  Brocade SAN TS-300,Cisco DCMDSv2   ITIL SO (or IT4IT L1) ITIL CSI,,,,,,
,OS&DB,UNIX,Unix Technical Specialist,Linux,RedHat6,Basic shell with Bash,Basic shell commands: (Create ; delete ; copy ; and move files and directories and edit text files) - Account Management ( useradd / usermod ) - List ; set ; and change standard ugo/rwx permissions - Firewall - basic understanding and ability to identify showstopper (RH) - Basic differences between RHEL 6 and RHEL 7 - LVM basic operations (list ; create filesystem ;extend Filesystem)  (RH) - Access remote systems using SSH ; OA ; iLO - Use system documentation (man pages...),Troubleshooting (locate and read log files ; filesystems usage ; system utilization ; HW failures...) - Network configuration (IP ; routes ; ...) - Firewall (iptables ; firewalld) - List and identify running processes and start-up services - Disk operations (LVM) - Basic knowledge about cluster systems - Basic overview about server virtualization VMware ; Hyper-V and physical servers - Knowledge about additional permissions ACL - Basic knowledge about repository handling,System updates with troubleshooting - Package installation/reinstallation/uninstallation from repository and unexpected dependencies - Advanced disk operations - Advanced network configuration ; firewall - Knowledge about network shares - Cluster management - Knowledge about scripting and automation - Basic SELinux operations,,,,,,,,,
,OS&DB,UNIX,Unix Technical Specialist,,RedHat7,Basic shell with Bash,,,,,,,,,,,,
,OS&DB,UNIX,Unix Technical Specialist,,SuSe (11 ; 12),Basic shell with Bash,,,,,,,,,,,,
,OS&DB,UNIX,Unix Technical Specialist,,CentOs (6 ;7),Basic shell with Bash,,,,,,,,,,,,
