	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		Virtualization 	understand the basics (Gareth intro) 	knowledge based on Vmware Vsphere ICM training 	VCP (knowledge and certifications/contract) 	"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) "									
	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		"*Hardware - ESXi hosts, servers "	ability to solve issue based on KB 	"TS1+ 
deeper understanding 
understands Vmware clusters, DRS, HA, host and storage migrations "	"basic troubleshooting of Vmware clusters, DRS, HA, host and storage migrations "	"setup and advanced troubleshooting of Vmware clusters, DRS, HA, host and storage migrations 
(training VMware vSphere Troubleshooting workshop)  "									
	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		*Hardware - Storage 		"basic understanding of storage technologies used in Tieto (SAN, NAS, EMC, Netapp) Training by Mirek Dvorak 
TCSo / 1C onsite
- basic knowleadge of OIB storage - Dell_MD3200 and compellent sc2020
-basic knowleadge of MIB -HP_Lefthands 
-basic knowleadge of BOSplus CMC and their disk configuration
"	"basic troubleshooting of storage technologies used in Tieto (SAN, NAS, EMC, Netapp) 
TCSo / 1C onsite
- basic troubleshooting of OIB storage - Dell_MD3200 and compellent sc2020
-basic knowleadge of MIB -HP_Lefthands 
-basic troubleshooting of BOSplus CMC and their disk configuration
- basic of vSAN technology"	"setup and troubleshooting of storage technologies used in Tieto (SAN, NAS, EMC, Netapp) 
TCSo / 1C onsite 
- troubleshooting/installation and configuration of OIB storage - Dell_MD3200 and compellent sc2020
- troubleshooting/installation and configuration of MIB -HP_Lefthands 
- troubleshooting/installation and configuration of BOSplus CMC and their disk configuration
- installation/troubleshooting of vSAN "									
	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		*Hardware - Backup 		"basic understanding of backup technologies used in Tieto (NetBackup, TSM) 
understands the difference between File level and Snapshot based backup "	"basic troubleshooting of backup technologies used in Tieto (NetBackup, TSM) "	"troubleshooting of backup technologies used in Tieto (NetBackup, TSM) "									
	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		*Network 		"basic understanding of Ipv4, subnets, routing, etc"	"advanced knowledge of Ipv4, subnets, routing and IPAM "	"network troubleshooting (IP Scan, sniff, etc.)  "									
	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		*Monitoring 	ability to understand the TK based on monitoring tool 	knowledge of monitoring tools and their scope 	knowledge of monitoring tools and their scope 	"able to setup monitoring (tresholds, ranges, triggers) "									
	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		*Scripting 			basic knowledge Power Shell and Power CLI 	ability to write basic scripts using PowerShell and Power CLI 									
	Cloud and Capacity	"Vmware on-site 
& Customized solutions"	VMware Cloud Technical specialist	Vmware	"TCSo -BOS,BOSplus,MIB,DIB,HIB
1C - XS,S,M,L"		basic understanding of onsite products	"knowleadge of onsite solutions, basic installation and ticket troubleshooting"	installation and advanced troubleshooting of onsite products. Able to create site survey and site solutions documents									
	Cloud and Capacity	"Public Cloud
 (AWS - Amazon Web Services & Azure - MS Azure)"	Technical specialist - Public Cloud	Azure	"AaaS
Multi Tenant Services (Domain Authentification) logic
Object storage "			"Subscription Management 
(IAM 
Monitoring and logs 
Consumption reports)
Security and compliance management
(CM, KMS, Inspector, Sheeld, etc) 
Optimization and Config management (Cost optimization) 

Knowledge of AWS and Azure 
•Implement and manage continuous delivery systems and methodologies
•Define and deploy monitoring, metrics, and logging systems 
•Design, manage, and maintain tools to automate operational processes 
•Implementing and controlling the flow of data to and from public cloud. 
•Scalability and spending control "	"TS3+
Foundational Services Management 
(Advanced compute management 
Autoscaling 
Loadbalancing 
Database management 
Storage mangement 
Networking and CDN)

Knowledge of AWS or Azure 
•Implement and manage continuous delivery systems and methodologies
•Define and deploy monitoring, metrics, and logging systems 
•Design, manage, and maintain tools to automate operational processes 
•Implementing and controlling the flow of data to and from public cloud. 
•Scalability and spending control 
Mentoring & Trainer "	"TS4+
Platform Services Management (Analytics Management, IoT manag, Application Services Manag, API gateway, queuing and notifications management) 
 
Knowledge of both: AWS and Azure 
•Implement and manage continuous delivery systems and methodologies
•Define and deploy monitoring, metrics, and logging systems 
•Design, manage, and maintain tools to automate operational processes 
•Implementing and controlling the flow of data to and from public cloud. 
•Scalability and spending control 
Mentoring & Trainer "	"TS5+
Consultation services 
Application Lifecycle management 

•Designing and deploying dynamically scalable, highly available, fault tolerant, and reliable applications. 
•Selecting the appropriate cloud services based on data, compute, database, security requirements
•Migrating complex, multi-tier applications
•Cloud Application Security
•Implementing cost control strategies 
•Virtual private networks
•Cloud networking - Hybrid clouds
•Cloud Security, IAM
•Integration to Tieto tools (e.g. monitoring)
•Financial control service
•Subscription management
Technical lead of the team  "							
	Cloud and Capacity	"Public Cloud
 (AWS - Amazon Web Services & Azure - MS Azure)"	Azure Technical specialist 	AWS	"AaaS
Multi Tenant Services (Domain Authentification) logic
Object storage "													
	Cloud and Capacity	Cloud	O365 technical specialist 	O365	Microsoft	Office365	"Theorotical Knowledge of IT infra .

Basic understanding Exchange and Hybrid Infrastructure"	"* Basic knowledge regarding e.g. network servers, workstations, deployments and user support.
* Adequate practical background 
*Technical knowledge of managing and administering MS Exchange 2010 / 2013 / 2016 infrastructure
* Knowledge and Experience with supporting Outlook Clients (MSOutlook2010, 2013/2016 and WebAPP) 
*Powershell Basics and Management

"	"Has established knowledge of e.g. servers/networks, and server/network administration.  Understand and can do basic network device configurations. Has basic certificates or skills for networking and/or operating systems.Technical knowledge of managing and administering MS Exchange
2010 / 2013 / 2016 infrastructureKnowledge and Experience with supporting Outlook Clients (MSOutlook
2010, 2013/2016 and WebAPP)* Experience on Messaging and communication Industry - Office 365,Exchange 2010/2013,Lync 2010/2013 and Skype for Business (SfB).Strong understanding and experience with MS Exchange 2013/2016 in an enterprise environment including backup and restore procedures, OWA, RPC/HTTPS, message flow and security. -Implement, administer, maintain, and troubleshoot issues regarding on premise Exchange servers, Exchange Online, secure email gateways, and ADFS.-Exchange-related Active Directory administration.
Experience with Microsoft Cloud Services (O365 and Azure) and instant messaging platform (Lync / Skype for Business)- Provide user account setup and configuration to allow users access to the O365 services- Address client connectivity, client software, and mobility installation issues for O365- Address service availability issues within the customer’s organizational span of control for O365Experience on any Messaging Gateway Filter. Symantec Bright mail Filter will be an added advantage.Exchange server Installation and configuration
Exchange Server and User Administration
Understanding on Exchange 2013 DAG, Client access, Email flow, Email Hygiene
Troubleshoot user issues related to mailbox
Troubleshooting Client Connectivity Issues Internally and Externally.
Active Directory and Directory Services knowledge
Active Directory Troubleshooting and Configuration of Exchange.Mail flow Troubleshooting.
Understanding of Single Tennant and Multitenant Environment.
Understanding PAM and SAM. Basic Understanding of Load Balancer.
Exchange PowerShell knowledge
Exchange 2013 DR and Site resilience.Exchange server maintenance activity.Exchange Backup and disaster recovery.
Good General Server/Network Administration Concepts/Understanding.
Troubleshooting Exchange Server issues.Monitor Exchange server health and Respond.
Mailbox migration.
3rd party vendor coordination while troubleshooting an issue.
Daily Operating System alert handling and response.
Windows Server 2008 /2012.
ITIL Foundation Certification is preferred not mandatory.-
"	"Can solve complex problems and have a good knowledge about different areas of IT (e.g. server, server applications, networks and periferal devices).  
Have advanced certificates or skills needed to perform assigned tasks. Shares knowledge within own area of expertise. Analyses and improves current ways of working. Is able to explain and present complex solutions.L2 +
Strong hands on experience in complex Microsoft Exchange enterprise environment.
Candidate should have experience in handling exchange servers of 2010/2013/2016 independently.
Experience on Configuring and Administration of High Availability environment for Exchange Services.
Provide administration and engineering support for all messaging related projects such implementing new system or process.
Clear understanding of disaster recovery processes.
Clear understanding of mail gateway configuration and concepts.
Should have knowledge about front end/back end, OWA, RPC/HTTP and active sync configuration
Configuration of exchange policies and Email routing.
Strong knowledge on Designing and Planning of Exchange Services infrastructure including O365
Experience on Migration Tools like Quest Migration or any other third party tool for Inter and Intra Exchange Organization for Exchange.
Should have knowledge about capacity planning in distributed environment.
Strong understanding and experience with MS exchange 2010/2013/2016 including backup and restore procedures.
Experience in supporting exchange server health check and should be in position to recommend the best practice.
Patch and configuration management of MS Exchange.
Strong Active Directory knowledge to resolve exchange related issues.
Configuration and Support for DAG and Windows Clusters.
Proven excellent customer service skills
Excellent oral and written (including technical writing) communication skills
Excellent decision-making and problem solving
Ability to work cross functionally in an organization
Use scripting techniques to automate systems management.
Participate in the On-Call rotation
Follow appropriate change control processes.
Other Skills / Experience:
I. Basic understanding of Hyper V and VMWARE.
II. Basic Understanding of ITIL Foundation.
III. Well-Versed in the Documentation for solutions and  RunBooks"	"Has cross-technical competence basis to support analyses. 
Deep knowledge of one or several areas of expertise.
 Is able to proactively work and solve problems. 
Can  suggest new solutions and improve existing systems.
 Is able to plan systems  according to business requirements. 
Has deeper knowledge of some specific areas of IT.
 Is able to explain and present highly complex solutions. Considered to be competence lead within the unit and by customer(s). L3 + work experience and maturity + soft skills. 
Technical partner to management and to architect – gives ideas on how to deal with complex solutions, advices and consults with other internal parties. 
Backup of architect.
Understanding and support experience on Messaging ProtocolsSMTP,
POP3, IMAP4, RPC, MAPI & RPC over HTTPs.
Monitor the day-to- day operations of Microsoft Exchange servers including handling user support tickets, server maintenance, data migrations, backups, and deployments of Microsoft Exchange. 
Analyze current resources and trends to enable planning for long-term performance and server expansion. 
Interaction with users who submit support tickets and upper management, interaction with software vendors may occur from time to time. 
Lead upgrades, account management, and changes to the system, including communication with users. 
Report on implementations, migrations, upgrades, and other activities that affect the software environment.
Monitor server logs and overall performance, troubleshooting and resolving problems. 
Enforce change management and compliance processes 
Migrations including Mailboxes, Public Folders, User Profiles 
Ensure that the Exchange Organization is meeting the defined SLAs. 
Follow defined engineering processes to ensure that all messaging projects meet all requirements and are delivered in a timely manner 
Work with the IT Security team to implement changes to limit risks and vulnerabilities. 
Provide Tier 3 level support to the operational staff Provide mentorship to the Tier 2 team 
Provide guidance as a subject matter expert for Messaging and Collaborations Services. 
Maintain and recommend the product Road Maps and the related Project Plans for the program and future projects
Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve hardware and software problems 
Ability to make decisions and manage your time effectively to a delivery plan/schedule 
Ability to work independently, but also be part of a team
Intermediate level of ITIL.PowerShell scripting & Monitoring Tools such as SCOM
"							
